gene,count,freq
HNRNPH3,25,1.0
LUC7L3,25,1.0
MALAT1,25,1.0
PNISR,25,1.0
R3HCC1L,25,1.0
RANBP2,25,1.0
RBM39,25,1.0
RNF145,25,1.0
SACM1L,25,1.0
SPG20,25,1.0
TGFBR1,25,1.0
TIGD7,25,1.0
UBXN2A,25,1.0
ZNF292,25,1.0
ARID4B,24,0.96
ZNF117,24,0.96
ZNF12,24,0.96
ATRX,23,0.92
HNRNPA2B1,23,0.92
KIDINS220,23,0.92
PNN,23,0.92
TOPORS,23,0.92
ZDHHC17,23,0.92
CCR2,22,0.88
CD163,22,0.88
GIMAP8,22,0.88
PNRC2,22,0.88
CRLF3,21,0.84
RIT1,21,0.84
ZNF700,21,0.84
ZNF721,21,0.84
AHNAK,20,0.8
DDX42,20,0.8
EIF4A2,20,0.8
PPM1B,20,0.8
ZNF322,20,0.8
ZNF701,20,0.8
LOC728554,19,0.76
RSF1,19,0.76
ZNF808,19,0.76
ESF1,18,0.72
PDX1,18,0.72
ZFP62,18,0.72
CHD2,17,0.68
SRSF5,17,0.68
ZNF770,17,0.68
FXR1,16,0.64
STX16,16,0.64
CES1,15,0.6
IVNS1ABP,15,0.6
EGR1,14,0.56
HERC4,14,0.56
PRPF40A,14,0.56
RAB27A,14,0.56
SRSF1,14,0.56
TM2D3,14,0.56
YTHDC1,14,0.56
TMEM2,13,0.52
ZNF600,13,0.52
ARMCX3,12,0.48
CLK1,12,0.48
RBL2,12,0.48
TTC14,12,0.48
ZNF518B,12,0.48
DDX6,11,0.44
EIF3A,11,0.44
FAR1,11,0.44
JAK2,11,0.44
LBR,11,0.44
POLR2B,11,0.44
STARD4,11,0.44
TSR1,11,0.44
PCF11,10,0.4
ZNF569,10,0.4
CNBP,9,0.36
FAM13C,9,0.36
JRKL,9,0.36
PRPF38B,9,0.36
RABGGTB,9,0.36
SENP6,9,0.36
SF3B1,9,0.36
UFM1,9,0.36
CCDC47,8,0.32
HMBS,8,0.32
KIF5B,8,0.32
RENBP,8,0.32
ROCK1,8,0.32
USP47,8,0.32
ZNF224,8,0.32
DDX5,7,0.28
DEK,7,0.28
FER,7,0.28
HNRNPA3,7,0.28
MYBL2,7,0.28
PKD2,7,0.28
RBM12B,7,0.28
SREK1,7,0.28
TMEM30A,7,0.28
ASNSD1,6,0.24
CCDC144A,6,0.24
CHMP1B,6,0.24
E2F2,6,0.24
FGL2,6,0.24
HSD17B11,6,0.24
MFSD1,6,0.24
MICALL2,6,0.24
NUP50,6,0.24
RBAK,6,0.24
RLF,6,0.24
SCARNA17,6,0.24
SLC38A2,6,0.24
CD36,5,0.2
CTR9,5,0.2
CWC27,5,0.2
LINC00909,5,0.2
RANBP6,5,0.2
ZNF217,5,0.2
ZNF267,5,0.2
ZNF514,5,0.2
C1QC,4,0.16
CCDC82,4,0.16
CEBPG,4,0.16
CNEP1R1,4,0.16
CREBZF,4,0.16
CUTC,4,0.16
DCP2,4,0.16
DNAJA1,4,0.16
HNRNPH2,4,0.16
IFRD1,4,0.16
LMNB1,4,0.16
MRFAP1,4,0.16
MRFAP1L1,4,0.16
MTERF1,4,0.16
PPIG,4,0.16
RB1CC1,4,0.16
RNF6,4,0.16
RPS6KA3,4,0.16
SLC39A7,4,0.16
SRSF6,4,0.16
TAOK3,4,0.16
TMCO3,4,0.16
TNFRSF10B,4,0.16
TRMU,4,0.16
ZNF20,4,0.16
ZNF420,4,0.16
ACRC,3,0.12
DLX6,3,0.12
FYTTD1,3,0.12
GALNT9,3,0.12
GIMAP7,3,0.12
ITGB2,3,0.12
KCNE3,3,0.12
KLHL8,3,0.12
MTERF2,3,0.12
MYOM1,3,0.12
NEK4,3,0.12
PAFAH1B3,3,0.12
PPP4R2,3,0.12
SARAF,3,0.12
SKIV2L2,3,0.12
SLTM,3,0.12
SNORA21,3,0.12
SNX19,3,0.12
SUV420H1,3,0.12
TDP2,3,0.12
TTC32,3,0.12
USP48,3,0.12
ZKSCAN1,3,0.12
ZNF45,3,0.12
ZNF780A,3,0.12
AK9,2,0.08
AMICA1,2,0.08
AQP1,2,0.08
ARFIP1,2,0.08
ARID4A,2,0.08
BMS1P5,2,0.08
CCPG1,2,0.08
CPNE5,2,0.08
CRAT,2,0.08
CWF19L2,2,0.08
DAP3,2,0.08
