gene,n_ks_containing,rank_k50,count_k50,rank_k80,count_k80,rank_k100,count_k100,rank_k150,count_k150
ARID4B,4,22,19,15,24,1,25,1,25
ATRX,4,13,22,18,23,2,25,2,25
HNRNPA2B1,4,17,21,19,23,20,24,6,25
HNRNPH3,4,25,18,1,25,3,25,7,25
KIDINS220,4,18,21,20,23,21,24,9,25
LUC7L3,4,1,25,2,25,4,25,10,25
MALAT1,4,2,25,3,25,5,25,11,25
PNISR,4,14,22,4,25,6,25,12,25
PNN,4,15,22,21,23,22,24,13,25
R3HCC1L,4,3,25,5,25,7,25,15,25
RBM39,4,4,25,7,25,9,25,17,25
RNF145,4,5,25,8,25,10,25,18,25
SACM1L,4,11,23,9,25,11,25,20,25
SPG20,4,6,25,10,25,12,25,21,25
TGFBR1,4,16,22,11,25,13,25,22,25
TIGD7,4,7,25,12,25,14,25,23,25
TOPORS,4,23,19,22,23,23,24,24,25
UBXN2A,4,9,24,13,25,15,25,25,25
CCR2,3,19,20,24,22,19,24,32,24
RANBP2,3,27,17,6,25,8,25,16,25
ZNF117,3,12,23,16,24,16,25,27,25
ZNF12,3,10,24,17,24,17,25,28,25
ZNF292,3,8,25,14,25,18,25,29,25
ZDHHC17,2,28,17,23,23,24,24,26,25
CD163,1,26,17,25,22,31,22,33,24
CRLF3,1,39,12,28,21,26,23,3,25
EIF4A2,1,43,11,34,20,32,22,4,25
FXR1,1,50,9,47,16,27,23,5,25
GIMAP8,1,20,20,26,22,33,22,35,24
IVNS1ABP,1,46,10,50,15,43,20,8,25
PPM1B,1,40,12,35,20,34,22,14,25
RSF1,1,47,10,39,19,40,21,19,25
ZNF700,1,49,10,30,21,25,24,45,24
ZNF701,1,24,19,37,20,29,23,46,24
ZNF721,1,21,20,31,21,37,22,51,23
