gene,total_methods_in_top20_6,LR_methods_in_top20_3,RF_methods_in_top20_3,LR_PFI,LR_SHAP,LR_Coef,RF_PFI,RF_SHAP,RF_Impurity
CES1,6,3,3,1,1,1,1,1,1
EGR1,6,3,3,1,1,1,1,1,1
TIGD7,6,3,3,1,1,1,1,1,1
ZNF117,6,3,3,1,1,1,1,1,1
LOC728554,5,3,2,1,1,1,0,1,1
MALAT1,5,3,2,1,1,1,0,1,1
SPG20,5,3,2,1,1,1,0,1,1
UBXN2A,5,3,2,1,1,1,0,1,1
TGFBR1,4,3,1,1,1,1,0,1,0
LBR,3,3,0,1,1,1,0,0,0
LUC7L3,3,3,0,1,1,1,0,0,0
PNRC2,3,3,0,1,1,1,0,0,0
SLC38A2,3,3,0,1,1,1,0,0,0
DDX3X,3,2,1,0,1,1,1,0,0
RIT1,3,2,1,0,1,1,1,0,0
GIMAP8,3,1,2,1,0,0,0,1,1
RNF145,3,1,2,1,0,0,0,1,1
C1QC,3,0,3,0,0,0,1,1,1
CD163,3,0,3,0,0,0,1,1,1
MYBL2,3,0,3,0,0,0,1,1,1
SCARNA17,3,0,3,0,0,0,1,1,1
ARID4B,2,2,0,0,1,1,0,0,0
HNRNPH3,2,2,0,0,1,1,0,0,0
PCF11,2,2,0,0,1,1,0,0,0
POLR2B,2,2,0,0,1,1,0,0,0
ZNF770,2,2,0,0,1,1,0,0,0
AHNAK,2,1,1,1,0,0,1,0,0
HERC4,2,1,1,1,0,0,1,0,0
EIF3A,2,0,2,0,0,0,0,1,1
FAM13C,2,0,2,0,0,0,0,1,1
HMBS,2,0,2,0,0,0,0,1,1
KIDINS220,2,0,2,0,0,0,0,1,1
RENBP,2,0,2,0,0,0,0,1,1
RB1CC1,1,1,0,1,0,0,0,0,0
ZNF292,1,1,0,1,0,0,0,0,0
ZNF808,1,1,0,1,0,0,0,0,0
CHMP1B,1,0,1,0,0,0,1,0,0
CRLF3,1,0,1,0,0,0,1,0,0
ESF1,1,0,1,0,0,0,1,0,0
HNRNPH2,1,0,1,0,0,0,1,0,0
PDX1,1,0,1,0,0,0,1,0,0
PPM1B,1,0,1,0,0,0,0,0,1
RABGGTB,1,0,1,0,0,0,1,0,0
SENP6,1,0,1,0,0,0,1,0,0
USP47,1,0,1,0,0,0,1,0,0
