seed,trees,n_6of6,n_5of6,n_4of6,genes_6of6,genes_5of6
42,200,4,9,12,CES1|EGR1|MALAT1|TIGD7,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
42,500,6,10,10,CES1|EGR1|MALAT1|SPG20|UBXN2A|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A|ZNF117
42,1000,7,10,12,CES1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A|ZNF117
43,200,5,8,12,CES1|LOC728554|PNOC|SPG20|TIGD7,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
43,500,6,7,9,CES1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A,CES1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
43,1000,4,7,12,CES1|PNOC|SPG20|TIGD7,CES1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
44,200,3,9,10,EGR1|PNOC|TIGD7,CES1|EGR1|ESF1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
44,500,3,9,9,MALAT1|PNOC|TIGD7,CES1|EGR1|ESF1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
44,1000,4,9,9,CES1|PNOC|SPG20|UBXN2A,CES1|EGR1|ESF1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
45,200,6,8,9,CES1|EGR1|PNOC|SPG20|TIGD7|ZNF117,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
45,500,6,7,7,CES1|EGR1|PNOC|SPG20|TIGD7|ZNF117,CES1|EGR1|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
45,1000,5,8,9,CES1|EGR1|PNOC|TIGD7|UBXN2A,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
46,200,2,8,11,MALAT1|TIGD7,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A
46,500,4,7,11,EGR1|GIMAP8|TIGD7|UBXN2A,CES1|EGR1|GIMAP8|MALAT1|SPG20|TIGD7|UBXN2A
46,1000,6,7,12,EGR1|GIMAP8|MALAT1|SPG20|TIGD7|UBXN2A,CES1|EGR1|GIMAP8|MALAT1|SPG20|TIGD7|UBXN2A
47,200,4,10,11,EGR1|LBR|SPG20|TIGD7,CES1|EGR1|GIMAP8|LBR|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A
47,500,2,10,11,EGR1|UBXN2A,CES1|EGR1|GIMAP8|LBR|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A
47,1000,5,10,11,EGR1|GIMAP8|MALAT1|SPG20|UBXN2A,CES1|EGR1|GIMAP8|LBR|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A
48,200,3,7,8,CES1|PNOC|SPG20,CES1|LOC728554|PNOC|SLC38A2|SPG20|TIGD7|UBXN2A
48,500,4,7,7,CES1|PNOC|SPG20|UBXN2A,CES1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
48,1000,2,7,8,CES1|PNOC,CES1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
49,200,6,10,11,CES1|EGR1|MALAT1|SPG20|TIGD7|UCP2,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A|UCP2
49,500,4,10,11,EGR1|SPG20|UBXN2A|UCP2,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A|UCP2
49,1000,7,10,12,CES1|EGR1|MALAT1|TGFBR1|TIGD7|UBXN2A|UCP2,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A|UCP2
50,200,3,7,11,CES1|PNOC|SPG20,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A
50,500,3,6,9,CES1|SPG20|TIGD7,CES1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A
50,1000,1,6,8,TIGD7,CES1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A
51,200,6,8,12,CES1|EGR1|PNOC|SPG20|TIGD7|TMEM2,CES1|EGR1|MALAT1|PNOC|SPG20|TIGD7|TMEM2|UBXN2A
51,500,7,7,8,CES1|EGR1|MALAT1|PNOC|SPG20|TIGD7|UBXN2A,CES1|EGR1|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
51,1000,7,7,9,CES1|EGR1|MALAT1|PNOC|SPG20|TIGD7|UBXN2A,CES1|EGR1|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
