seed,trees,n_6of6,n_5of6,genes_6of6,genes_5of6
42,200,1,7,SPG20,EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
42,500,4,8,SPG20|TIGD7|UBXN2A|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
42,1000,4,8,EGR1|SPG20|TIGD7|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
43,200,3,9,CPNE5|TIGD7|UBXN2A,CES1|CPNE5|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
43,500,6,9,CES1|CPNE5|EGR1|MALAT1|SPG20|TIGD7,CES1|CPNE5|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
43,1000,7,9,CES1|CPNE5|EGR1|MALAT1|SPG20|TIGD7|ZNF117,CES1|CPNE5|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
44,200,7,9,CES1|EGR1|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
44,500,7,9,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
44,1000,5,9,CES1|LOC728554|MALAT1|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
45,200,5,7,CES1|EGR1|SPG20|TIGD7|ZNF117,CES1|EGR1|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
45,500,6,8,CES1|EGR1|SPG20|TIGD7|UCP2|ZNF117,CES1|EGR1|LOC728554|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
45,1000,4,8,CES1|TIGD7|UBXN2A|UCP2,CES1|EGR1|LOC728554|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
46,200,6,8,CD79A|CES1|MALAT1|SPG20|TIGD7|ZNF117,CD79A|CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
46,500,6,8,CD79A|CES1|MALAT1|SPG20|TIGD7|ZNF117,CD79A|CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
46,1000,6,8,CD79A|CES1|EGR1|MALAT1|SPG20|TIGD7,CD79A|CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
47,200,5,10,EGR1|MALAT1|SPG20|TIGD7|UCP2,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UCP2|ZNF117
47,500,5,11,EGR1|MALAT1|SPG20|TIGD7|UCP2,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A|UCP2|ZNF117
47,1000,6,10,EGR1|MALAT1|SPG20|TGFBR1|TIGD7|UCP2,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UCP2|ZNF117
48,200,5,8,CES1|EGR1|MALAT1|TIGD7|UBXN2A,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
48,500,5,8,CES1|MALAT1|TIGD7|UBXN2A|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
48,1000,6,8,CES1|EGR1|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
49,200,5,8,CES1|LOC728554|SPG20|TIGD7|ZNF117,CES1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
49,500,5,8,CES1|LOC728554|SPG20|TIGD7|UCP2,CES1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
49,1000,5,8,CES1|SPG20|TIGD7|UCP2|ZNF117,CES1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
50,200,9,9,CES1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A|UCP2|ZNF117,CES1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
50,500,1,9,MALAT1,CES1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
50,1000,5,9,MALAT1|PNOC|TIGD7|UBXN2A|ZNF117,CES1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A|UCP2|ZNF117
51,200,6,7,CES1|EGR1|MALAT1|PNOC|SPG20|TIGD7,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7
51,500,5,7,EGR1|MALAT1|PNOC|SPG20|TIGD7,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7
51,1000,5,7,EGR1|MALAT1|PNOC|SPG20|TIGD7,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7
