seed,trees,n_6of6,n_5of6,n_4of6,genes_6of6,genes_5of6
100,200,1,7,9,PNOC,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A
100,500,3,9,9,EGR1|PNOC|UBXN2A,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A|UCP2
100,1000,5,9,11,CES1|EGR1|PNOC|SPG20|UBXN2A,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A|UCP2
101,200,3,7,8,PNOC|SPG20|TIGD7,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7
101,500,3,5,8,PNOC|SPG20|TIGD7,CES1|LOC728554|PNOC|SPG20|TIGD7
101,1000,3,6,8,CES1|SPG20|TIGD7,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7
102,200,5,8,10,LOC728554|MALAT1|SPG20|TIGD7|UBXN2A,CES1|EGR1|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A
102,500,7,8,11,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A,CES1|EGR1|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|UBXN2A
102,1000,6,8,13,EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A
103,200,4,8,10,CES1|EGR1|SPG20|TIGD7,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
103,500,5,9,9,CES1|EGR1|MALAT1|SPG20|TIGD7,CES1|EGR1|LOC728554|MALAT1|RIT1|SPG20|TIGD7|UBXN2A|ZNF117
103,1000,6,9,10,CES1|EGR1|MALAT1|SPG20|TIGD7|UBXN2A,CES1|EGR1|LOC728554|MALAT1|RIT1|SPG20|TIGD7|UBXN2A|ZNF117
104,200,4,7,9,CES1|MALAT1|PNOC|TIGD7,CES1|MALAT1|PNOC|SPG20|TGFBR1|TIGD7|UBXN2A
104,500,5,8,10,CES1|MALAT1|PNOC|SPG20|TIGD7,CES1|LOC728554|MALAT1|PNOC|SPG20|TGFBR1|TIGD7|UBXN2A
104,1000,3,8,11,PNOC|TGFBR1|TIGD7,CES1|LOC728554|MALAT1|PNOC|SPG20|TGFBR1|TIGD7|UBXN2A
105,200,6,7,9,CES1|LOC728554|PNOC|SPG20|TIGD7|UCP2,CES1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|UCP2
105,500,3,7,10,LOC728554|PNOC|UCP2,CES1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|UCP2
105,1000,6,8,10,CES1|LOC728554|PNOC|SPG20|TIGD7|UCP2,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|UCP2
106,200,6,7,13,EGR1|PNOC|SPG20|TGFBR1|TIGD7|UBXN2A,CES1|EGR1|PNOC|SPG20|TGFBR1|TIGD7|UBXN2A
106,500,3,8,12,PNOC|SPG20|UBXN2A,CES1|EGR1|LOC728554|PNOC|SPG20|TGFBR1|TIGD7|UBXN2A
106,1000,5,8,13,CES1|LOC728554|PNOC|SPG20|TGFBR1,CES1|EGR1|LOC728554|PNOC|SPG20|TGFBR1|TIGD7|UBXN2A
107,200,2,7,10,EGR1|PNOC,CES1|EGR1|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
107,500,3,8,10,PNOC|SPG20|UBXN2A,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
107,1000,3,8,10,EGR1|PNOC|UBXN2A,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A|ZNF117
108,200,3,8,9,CES1|MALAT1|SPG20,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
108,500,3,8,9,CES1|MALAT1|PNOC,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
108,1000,6,8,8,CES1|MALAT1|PNOC|SPG20|TIGD7|UBXN2A,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
109,200,4,7,11,CES1|EGR1|PNOC|SPG20,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A
109,500,5,8,14,CES1|EGR1|LOC728554|PNOC|SPG20,CES1|EGR1|LOC728554|MALAT1|PNOC|SPG20|TIGD7|UBXN2A
109,1000,4,7,11,CES1|PNOC|SPG20|UBXN2A,CES1|EGR1|LOC728554|PNOC|SPG20|TIGD7|UBXN2A
