seed,trees,n_6of6,n_5of6,genes_6of6,genes_5of6
42,200,4,12,EGR1|MALAT1|TIGD7|ZNF117,CES1|EGR1|GIMAP8|KIDINS220|LOC728554|LUC7L3|MALAT1|SLC38A2|SPG20|TIGD7|UBXN2A|ZNF117
42,500,6,11,EGR1|KIDINS220|MALAT1|TIGD7|UBXN2A|ZNF117,CES1|EGR1|GIMAP8|KIDINS220|LOC728554|LUC7L3|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
42,1000,5,11,EGR1|GIMAP8|LOC728554|MALAT1|ZNF117,CES1|EGR1|GIMAP8|KIDINS220|LOC728554|LUC7L3|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
43,200,7,8,EGR1|GIMAP8|LUC7L3|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LUC7L3|MALAT1|SPG20|TIGD7|ZNF117
43,500,3,8,GIMAP8|MALAT1|ZNF117,CES1|EGR1|GIMAP8|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
43,1000,5,7,EGR1|GIMAP8|MALAT1|SPG20|ZNF117,CES1|EGR1|GIMAP8|MALAT1|SPG20|TIGD7|ZNF117
44,200,5,8,CES1|LOC728554|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
44,500,4,8,CES1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
44,1000,4,8,CES1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
45,200,6,8,EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
45,500,5,8,EGR1|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
45,1000,6,8,EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
46,200,7,8,CES1|EGR1|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117,CES1|EGR1|GIMAP8|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
46,500,6,10,CES1|EGR1|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|LUC7L3|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
46,1000,7,10,CES1|EGR1|GIMAP8|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|LUC7L3|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
47,200,4,8,EGR1|LOC728554|TIGD7|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
47,500,5,7,EGR1|MALAT1|SPG20|TIGD7|ZNF117,EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
47,1000,5,8,EGR1|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
48,200,5,9,CES1|EGR1|SPG20|TIGD7|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117|ZNF224
48,500,4,8,CES1|EGR1|MALAT1|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
48,1000,7,8,CES1|EGR1|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|UBXN2A|ZNF117
49,200,6,9,CES1|EGR1|LOC728554|MALAT1|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|ZNF117
49,500,8,9,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|ZNF117
49,1000,5,9,CES1|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|ZNF117
50,200,6,9,CES1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117,CES1|GIMAP8|LOC728554|MALAT1|MICALL2|SPG20|TIGD7|UBXN2A|ZNF117
50,500,6,9,CES1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117,CES1|GIMAP8|LOC728554|MALAT1|MICALL2|SPG20|TIGD7|UBXN2A|ZNF117
50,1000,4,9,CES1|MALAT1|TIGD7|ZNF117,CES1|GIMAP8|LOC728554|MALAT1|MICALL2|SPG20|TIGD7|UBXN2A|ZNF117
51,200,6,8,EGR1|MALAT1|SPG20|TGFBR1|TIGD7|ZNF117,CES1|EGR1|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|ZNF117
51,500,5,8,EGR1|MALAT1|SPG20|TIGD7|ZNF117,CCDC47|CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117
51,1000,7,9,CES1|EGR1|LOC728554|MALAT1|SPG20|TIGD7|ZNF117,CES1|EGR1|GIMAP8|LOC728554|MALAT1|SPG20|TGFBR1|TIGD7|ZNF117
