gene,freq_5of6,freq_6of6
MALAT1,1.0,0.8333333333333334
SPG20,1.0,0.7333333333333333
TIGD7,1.0,0.8666666666666667
ZNF117,1.0,1.0
CES1,0.9666666666666667,0.5333333333333333
EGR1,0.9,0.7333333333333333
LOC728554,0.8666666666666667,0.3333333333333333
GIMAP8,0.7333333333333333,0.2
UBXN2A,0.5333333333333333,0.1
LUC7L3,0.2,0.03333333333333333
TGFBR1,0.16666666666666666,0.03333333333333333
KIDINS220,0.1,0.03333333333333333
MICALL2,0.1,0.0
CCDC47,0.03333333333333333,0.0
SLC38A2,0.03333333333333333,0.0
ZNF224,0.03333333333333333,0.0
