pathway,freq_5of6,freq_6of6
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,1.0,0.5
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,1.0,0.6
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,1.0,0.7
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,0.8,0.5
REACTOME:Serine Biosynthesis R-HSA-977347,0.8,0.7
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,0.8,0.3
KEGG:Intestinal immune network for IgA production,0.6,0.2
REACTOME:TRAIL Signaling R-HSA-75158,0.4,0.3
REACTOME:Pre-NOTCH Processing In Endoplasmic Reticulum R-HSA-1912399,0.4,0.3
REACTOME:Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,0.4,0.1
REACTOME:Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,0.4,0.2
REACTOME:Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400,0.3,0.1
REACTOME:Interleukin-27 Signaling R-HSA-9020956,0.2,0.1
REACTOME:Interleukin-12 Family Signaling R-HSA-447115,0.1,0.0
REACTOME:SARS-CoV-2-host Interactions R-HSA-9705683,0.1,0.0
