pathway,gene,in_sfari_strict,in_sfari_broad,sfari_score,sfari_syndromic
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,IL6,False,False,,
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,IL6R,False,False,,
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,IL6ST,False,False,,
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,JAK1,False,False,,
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,JAK2,False,False,,
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,MAP2K2,False,False,,
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,MAPK1,False,False,,
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,PTPN11,True,True,1.0,True
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,TYK2,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,ARC,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,ASCL1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,CDK5,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,CDK5R1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,CDK5R2,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,CHD4,True,True,3.0,True
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,CREB1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,DNM2,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,DUSP3,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,DUSP4,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,DUSP6,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,DUSP7,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,EGR1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,EGR2,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,EGR3,False,True,2.0,False
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,EGR4,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,EP300,True,True,1.0,True
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,F3,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,FOS,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,FOSB,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,FOSL1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,GDNF,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,ID1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,ID2,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,ID3,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,ID4,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,JUND,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,KCNH8,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,LYL1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MAPK1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MAPK11,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MAPK14,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MAPK3,False,True,2.0,False
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MAPK7,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MAPKAPK2,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MEF2A,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MEF2C,True,True,1.0,True
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,MEF2D,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,NAB1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,NAB2,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,PPP2CA,True,True,,True
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,PPP2CB,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,PPP2R1A,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,PPP2R1B,False,True,2.0,False
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,PPP2R5D,True,True,1.0,True
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,REST,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,RNASEH2A,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,RPS6KA1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,RPS6KA2,False,True,2.0,False
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,RPS6KA3,True,True,2.0,True
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,RPS6KA5,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,RRAD,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,SGK1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,SH3GL3,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,SRF,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,TCF12,False,False,3.0,False
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,TF,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,TPH1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,TRIB1,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,VGF,False,False,,
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,VRK3,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,ART3,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,ART4,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,BST1,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CD109,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CD52,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CEACAM5,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CEACAM7,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CNTN3,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CNTN4,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CNTN5,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,CPM,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,DPM1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,DPM2,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,DPM3,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,FOLR2,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,GP2,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,GPAA1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,GPIHBP1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,GPLD1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LSAMP,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LY6D,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LY6E,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LY6G6C,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LY6H,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LY6K,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LYPD1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LYPD3,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LYPD4,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LYPD5,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,LYPD6B,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,MDGA1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,MDGA2,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,MSLN,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,NEGR1,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,NRN1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,NTM,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,NTNG2,True,True,,True
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,OPCML,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PGAP1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGA,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGB,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGC,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGF,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGG,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGH,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGK,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGL,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGM,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGN,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGO,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGP,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGQ,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGS,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGT,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGU,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGV,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGW,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGX,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGY,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PIGZ,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PLAUR,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PRND,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PRSS21,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,PSCA,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,RECK,False,False,,
