pathway,consensus
REACTOME:MAPK1 (ERK2) Activation R-HSA-112411,5of6
REACTOME:Interleukin-27 Signaling R-HSA-9020956,5of6
REACTOME:TRAIL Signaling R-HSA-75158,6of6
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,5of6
REACTOME:Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,5of6
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,6of6
REACTOME:Serine Biosynthesis R-HSA-977347,6of6
REACTOME:Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,5of6
KEGG:Intestinal immune network for IgA production,5of6
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,6of6
