gene,observed_count,null_total_count,null_mean_count_per_perm
DDX3X,25,47,0.094
ATRX,25,4,0.008
TIGD7,25,38,0.076
SACM1L,25,9,0.018
SPG20,25,22,0.044
ZNF770,25,35,0.07
UBXN2A,25,47,0.094
MALAT1,25,158,0.316
TGFBR1,25,21,0.042
HERC4,25,2,0.004
DDX42,25,11,0.022
R3HCC1L,25,18,0.036
KIDINS220,25,12,0.024
IVNS1ABP,25,26,0.052
LUC7L3,25,18,0.036
RBM39,25,20,0.04
ARID4B,25,13,0.026
PNISR,25,21,0.042
RANBP2,25,3,0.006
ZNF292,25,29,0.058
RNF145,25,25,0.05
CCR2,24,56,0.112
CNBP,24,22,0.044
PPM1B,24,14,0.028
RIT1,24,41,0.082
CD163,24,119,0.238
CRLF3,24,16,0.032
ZNF701,24,66,0.132
AHNAK,24,71,0.142
TMEM2,24,44,0.088
SRSF5,23,48,0.096
HNRNPA2B1,23,27,0.054
PNN,23,42,0.084
ZDHHC17,23,15,0.03
GIMAP8,22,82,0.164
ZNF700,22,9,0.018
ZNF12,22,10,0.02
POLR2B,22,34,0.068
YTHDC1,21,28,0.056
TOPORS,21,46,0.092
PRPF40A,21,3,0.006
EIF4A2,21,26,0.052
ZNF808,20,95,0.19
HNRNPH3,20,28,0.056
ZNF117,20,81,0.162
EGR1,20,43,0.086
LOC728554,20,35,0.07
ZNF322,20,17,0.034
LBR,20,78,0.156
SLC38A2,19,23,0.046
RSF1,19,7,0.014
RAB27A,19,58,0.116
FXR1,19,21,0.042
ZNF721,18,92,0.184
SREK1,18,4,0.008
CHD2,18,17,0.034
RBL2,18,37,0.074
EIF3A,18,37,0.074
CLK1,18,12,0.024
PDX1,17,101,0.202
PNRC2,17,21,0.042
SRSF1,17,12,0.024
ARMCX3,17,10,0.02
USP47,16,5,0.01
CHMP1B,16,46,0.092
TTC14,16,1,0.002
TM2D3,16,14,0.028
FAM13C,15,38,0.076
ZNF600,15,79,0.158
STARD4,15,18,0.036
RABGGTB,15,5,0.01
RB1CC1,15,12,0.024
CES1,15,175,0.35
TSR1,14,56,0.112
MRFAP1,14,43,0.086
LINC00909,14,21,0.042
SENP6,14,8,0.016
DDX6,14,30,0.06
CCDC82,13,39,0.078
IFRD1,13,49,0.098
JAK2,13,10,0.02
ESF1,13,63,0.126
SF3B1,13,7,0.014
PCF11,13,2,0.004
FAR1,12,10,0.02
MYBL2,12,167,0.334
HNRNPH2,12,26,0.052
ASNSD1,12,6,0.012
YIPF4,11,45,0.09
ZFP62,11,3,0.006
STX16,10,32,0.064
SRSF6,10,11,0.022
C1QC,10,59,0.118
DDX5,10,27,0.054
HSD17B11,10,34,0.068
ZNF518B,10,7,0.014
CTR9,9,35,0.07
MFSD1,9,36,0.072
ITGB2,9,79,0.158
HMBS,9,116,0.232
DCP2,9,11,0.022
SCARNA17,9,66,0.132
RENBP,9,123,0.246
UFM1,9,14,0.028
TMCO3,8,37,0.074
RBM12B,8,23,0.046
RPS6KA3,8,7,0.014
DEK,8,18,0.036
NUP50,8,28,0.056
PAFAH1B3,8,52,0.104
RBAK,7,24,0.048
FER,7,49,0.098
INSIG2,7,6,0.012
TDP2,7,30,0.06
HNRNPH1,7,68,0.136
ABHD14A,7,43,0.086
RANBP6,7,23,0.046
SLC17A9,7,57,0.114
KIF5B,7,5,0.01
RAD21,7,30,0.06
STK4,6,72,0.144
FYTTD1,6,2,0.004
CCDC47,6,5,0.01
CPNE5,6,128,0.256
CREBZF,6,28,0.056
ZNF217,6,36,0.072
S100A6,6,43,0.086
CD79A,6,102,0.204
ARHGEF16,6,30,0.06
PNOC,6,164,0.328
UCP2,6,68,0.136
ZKSCAN1,5,7,0.014
PRPF38B,5,30,0.06
ROCK1,5,22,0.044
HNRNPA3,5,29,0.058
TPR,5,39,0.078
TXNRD1,5,51,0.102
FGL2,5,57,0.114
JRKL,5,84,0.168
KLHL8,5,26,0.052
TTC32,5,55,0.11
TMEM30A,5,14,0.028
GALNT9,5,78,0.156
JPX,5,72,0.144
CDK5RAP3,5,41,0.082
KBTBD11,5,62,0.124
TAOK3,5,22,0.044
CSNK1A1,4,19,0.038
HNRNPF,4,43,0.086
FOXP3,4,26,0.052
CCPG1,4,27,0.054
MGEA5,4,30,0.06
UBE2F,4,28,0.056
NRBF2,4,31,0.062
ZNF569,4,41,0.082
CD63,4,76,0.152
SNORA21,4,106,0.212
SARAF,4,42,0.084
ZNF224,4,11,0.022
RLF,4,18,0.036
CLK4,4,10,0.02
BAZ2B,4,47,0.094
LMNB1,4,92,0.184
PKD2,3,49,0.098
UBALD1,3,44,0.088
SLC37A4,3,111,0.222
CLCN2,3,30,0.06
IGIP,3,31,0.062
ZNF267,3,29,0.058
SFPQ,3,8,0.016
SCN1B,3,122,0.244
ZNF780A,3,27,0.054
ELFN2,3,95,0.19
PPP4R2,3,8,0.016
SKIV2L2,3,36,0.072
PPP6R3,3,6,0.012
ARGLU1,3,32,0.064
WAPAL,3,12,0.024
DNPH1,3,80,0.16
GNAO1,3,25,0.05
DLX6,3,61,0.122
ZNF420,3,19,0.038
SMARCA5,3,7,0.014
CD36,3,81,0.162
SLTM,3,9,0.018
USP48,3,23,0.046
DAP3,3,18,0.036
PSKH2,3,137,0.274
MYLK2,3,50,0.1
RNF6,3,7,0.014
CRKL,3,25,0.05
ACRC,3,65,0.13
PRPF4B,3,14,0.028
CENPA,3,59,0.118
FAM208A,2,1,0.002
RPH3A,2,80,0.16
MPV17L2,2,41,0.082
HECA,2,13,0.026
TAF7,2,38,0.076
DTX4,2,122,0.244
ATP6V0E2,2,114,0.228
NEK4,2,38,0.076
RBM25,2,8,0.016
OAT,2,44,0.088
ZNF20,2,59,0.118
SLMAP,2,14,0.028
AMICA1,2,60,0.12
GIMAP7,2,31,0.062
IGF2R,2,84,0.168
FIZ1,2,49,0.098
SRSF7,2,15,0.03
KCNE3,2,53,0.106
OTUD7A,2,53,0.106
HNRNPU,2,37,0.074
EIF2S3,2,29,0.058
PORCN,2,54,0.108
PPIG,2,16,0.032
AQP1,2,51,0.102
NFE2L2,2,11,0.022
OPTC,2,23,0.046
ZNF638,2,5,0.01
PTPRC,2,55,0.11
SUV420H1,2,15,0.03
YDJC,2,150,0.3
CUTC,2,6,0.012
RGS18,2,44,0.088
SLC39A7,2,82,0.164
ARHGAP30,2,38,0.076
TGM2,2,52,0.104
TMEM165,2,30,0.06
ARID4A,2,38,0.076
SOX5,2,144,0.288
MTERF1,2,36,0.072
HMGN3,1,13,0.026
CAMSAP2,1,104,0.208
CD69,1,32,0.064
ZNF514,1,34,0.068
CBX3,1,34,0.068
MRFAP1L1,1,31,0.062
FAM73A,1,59,0.118
SRSF4,1,43,0.086
CBWD1,1,42,0.084
ZDHHC12,1,88,0.176
ARFIP1,1,23,0.046
TPRXL,1,80,0.16
ESCO1,1,20,0.04
TGOLN2,1,48,0.096
AOAH,1,89,0.178
SHISA4,1,111,0.222
PAPSS1,1,64,0.128
CEBPG,1,26,0.052
REV1,1,7,0.014
HMGB1,1,43,0.086
SF3B4,1,122,0.244
TRIB3,1,108,0.216
PCNX,1,28,0.056
CRBN,1,13,0.026
DNAJA1,1,31,0.062
ZNF763,1,130,0.26
SH3BP5L,1,95,0.19
TUBB6,1,49,0.098
AGPAT9,1,65,0.13
THOC2,1,4,0.008
ZNF780B,1,16,0.032
NFYB,1,41,0.082
AGMAT,1,109,0.218
SLC37A3,1,81,0.162
CHML,1,65,0.13
FAM133B,1,48,0.096
C16orf74,1,147,0.294
ZNF106,1,109,0.218
MTF2,1,9,0.018
TCF20,1,59,0.118
NDFIP1,1,27,0.054
ATP6AP2,1,18,0.036
ERCC5,1,22,0.044
SMARCA2,1,33,0.066
THUMPD1,1,4,0.008
RPL17,1,63,0.126
NOM1,1,61,0.122
ZNF740,1,70,0.14
YES1,1,80,0.16
UPF2,1,15,0.03
GJD3,1,40,0.08
SIX6,1,104,0.208
ZDBF2,1,97,0.194
IDI1,1,25,0.05
ZBTB1,1,42,0.084
MYOM1,1,186,0.372
DNAJC3,1,63,0.126
ENPP1,1,65,0.13
MICALL2,1,86,0.172
ZFP30,1,26,0.052
DMPK,1,48,0.096
SART3,1,23,0.046
AZIN1,1,5,0.01
CUL4A,1,24,0.048
KBTBD6,1,39,0.078
KPNB1,1,32,0.064
ZNF254,1,71,0.142
KBTBD2,1,10,0.02
