perm,null_max_sel_count,null_p95_sel_count
0,24,0.0
1,24,0.0
2,24,0.0
3,25,0.0
4,24,1.0
5,25,0.0
6,25,0.0
7,23,0.0
8,23,0.0
9,24,0.0
10,25,0.0
11,25,0.0
12,25,0.0
13,25,0.0
14,24,1.0
15,22,0.0
16,25,0.0
17,24,0.0
18,24,0.0
19,25,0.0
20,23,0.0
21,25,1.0
22,25,0.0
23,25,0.0
24,25,0.0
25,23,1.0
26,23,1.0
27,25,0.0
28,25,0.0
29,25,1.0
30,23,0.0
31,25,0.0
32,25,0.0
33,25,1.0
34,25,0.0
35,24,0.0
36,25,0.0
37,25,0.0
38,25,0.0
39,25,0.0
40,24,0.0
41,25,0.0
42,24,1.0
43,25,0.0
44,25,0.0
45,25,0.0
46,23,0.0
47,25,0.0
48,23,0.0
49,25,0.0
50,25,0.0
51,25,0.0
52,25,0.0
53,20,1.0
54,23,0.0
55,25,0.0
56,24,1.0
57,24,0.0
58,25,0.0
59,25,0.0
60,25,0.0
61,25,0.0
62,25,0.0
63,24,0.0
64,24,0.0
65,24,1.0
66,25,0.0
67,23,0.0
68,25,0.0
69,25,0.0
70,22,0.0
71,23,1.0
72,23,0.0
73,25,0.0
74,25,0.0
75,25,0.0
76,25,0.0
77,25,0.0
78,25,0.0
79,25,0.0
80,25,0.0
81,25,0.0
82,24,0.0
83,25,0.0
84,25,0.0
85,25,0.0
86,24,0.0
87,25,0.0
88,25,0.0
89,25,0.0
90,25,0.0
91,25,0.0
92,25,0.0
93,25,0.0
94,25,0.0
95,24,0.0
96,24,0.0
97,23,0.0
98,25,0.0
99,25,0.0
100,25,0.0
101,25,0.0
102,25,0.0
103,21,1.0
104,23,0.0
105,25,0.0
106,24,0.0
107,25,0.0
108,25,0.0
109,23,1.0
110,24,0.0
111,24,1.0
112,22,0.0
113,25,0.0
114,23,0.0
115,25,0.0
116,25,0.0
117,25,0.0
118,25,0.0
119,25,0.0
120,22,0.0
121,25,0.0
122,21,1.0
123,25,0.0
124,24,1.0
125,25,0.0
126,25,1.0
127,25,0.0
128,25,0.0
129,25,0.0
130,25,0.0
131,25,0.0
132,24,0.0
133,25,0.0
134,24,0.0
135,23,1.0
136,24,0.0
137,25,0.0
138,25,0.0
139,25,0.0
140,25,0.0
141,24,0.0
142,25,0.0
143,25,0.0
144,24,0.0
145,25,0.0
146,25,0.0
147,25,0.0
148,23,0.0
149,25,0.0
150,24,1.0
151,25,0.0
152,24,1.0
153,25,0.0
154,23,0.0
155,22,1.0
156,24,1.0
157,24,0.0
158,23,0.0
159,25,0.0
160,24,0.0
161,21,0.0
162,25,0.0
163,25,1.0
164,25,0.0
165,25,0.0
166,25,0.0
167,25,0.0
168,25,0.0
169,25,0.0
170,25,0.0
171,24,0.0
172,24,0.0
173,25,0.0
174,25,0.0
175,25,0.0
176,25,0.0
177,21,0.0
178,24,1.0
179,22,1.0
180,25,0.0
181,25,0.0
182,22,1.0
183,25,1.0
184,24,0.0
185,25,0.0
186,25,0.0
187,22,1.0
188,23,1.0
189,25,0.0
190,25,0.0
191,24,0.0
192,24,0.0
193,24,1.0
194,25,0.0
195,23,1.0
196,25,0.0
197,25,0.0
198,25,0.0
199,17,0.0
200,25,0.0
201,25,1.0
202,24,0.0
203,25,0.0
204,25,1.0
205,24,0.0
206,23,1.0
207,24,0.0
208,22,0.0
209,25,0.0
210,25,0.0
211,22,1.0
212,24,1.0
213,25,1.0
214,25,0.0
215,25,0.0
216,25,0.0
217,24,0.0
218,25,0.0
219,25,1.0
220,25,0.0
221,25,0.0
222,24,0.0
223,25,0.0
224,25,0.0
225,25,0.0
226,25,0.0
227,24,0.0
228,25,0.0
229,24,0.0
230,25,0.0
231,25,0.0
232,23,0.0
233,24,1.0
234,25,0.0
235,23,0.0
236,24,0.0
237,25,0.0
238,25,0.0
239,24,0.0
240,24,1.0
241,24,0.0
242,25,0.0
243,25,0.0
244,21,0.0
245,25,0.0
246,24,0.0
247,25,1.0
248,25,0.0
249,24,0.0
250,25,0.0
251,25,1.0
252,25,0.0
253,25,0.0
254,25,0.0
255,25,0.0
256,25,0.0
257,23,0.0
258,25,0.0
259,23,0.0
260,25,1.0
261,25,1.0
262,23,0.0
263,25,0.0
264,25,0.0
265,24,0.0
266,24,0.0
267,25,0.0
268,25,0.0
269,23,1.0
270,22,0.0
271,25,0.0
272,25,0.0
273,24,0.0
274,25,0.0
275,23,1.0
276,24,0.0
277,22,0.0
278,25,0.0
279,25,1.0
280,25,0.0
281,24,0.0
282,25,0.0
283,25,0.0
284,25,0.0
285,25,0.0
286,24,0.0
287,24,0.0
288,25,0.0
289,25,0.0
290,25,0.0
291,25,0.0
292,23,1.0
293,25,0.0
294,25,0.0
295,25,0.0
296,25,0.0
297,25,0.0
298,23,1.0
299,25,0.0
300,25,0.0
301,25,0.0
302,24,0.0
303,25,0.0
304,25,0.0
305,25,0.0
306,23,0.0
307,24,0.0
308,25,0.0
309,24,0.0
310,25,0.0
311,24,1.0
312,25,0.0
313,24,0.0
314,25,0.0
315,25,0.0
316,25,1.0
317,25,0.0
318,23,1.0
319,25,1.0
320,25,0.0
321,25,0.0
322,25,0.0
323,25,0.0
324,24,0.0
325,25,1.0
326,25,0.0
327,23,1.0
328,25,0.0
329,25,1.0
330,25,0.0
331,24,0.0
332,24,1.0
333,25,0.0
334,24,0.0
335,25,0.0
336,25,0.0
337,23,1.0
338,24,0.0
339,22,0.0
340,25,0.0
341,25,0.0
342,25,0.0
343,23,1.0
344,23,0.0
345,25,0.0
346,23,0.0
347,25,0.0
348,23,1.0
349,25,0.0
350,25,0.0
351,23,0.0
352,24,0.0
353,25,0.0
354,25,0.0
355,25,1.0
356,25,0.0
357,21,0.0
358,25,0.0
359,25,0.0
360,25,0.0
361,21,0.0
362,25,0.0
363,25,0.0
364,25,0.0
365,22,0.0
366,25,0.0
367,25,0.0
368,21,1.0
