gene,selection_count,selection_frequency
ARMCX3,25,1.0
ASNSD1,25,1.0
ATP6AP2,25,1.0
ATRX,25,1.0
CCR2,25,1.0
CD163,25,1.0
CRLF3,25,1.0
EIF4A2,25,1.0
HNRNPH3,25,1.0
KIF5B,25,1.0
MFSD1,25,1.0
PNN,25,1.0
RB1CC1,25,1.0
RNF145,25,1.0
SACM1L,25,1.0
TM2D3,25,1.0
ZNF12,25,1.0
ZNF600,25,1.0
CNEP1R1,24,0.96
DAP3,24,0.96
DEK,24,0.96
GIMAP8,24,0.96
ITGB2,24,0.96
MORC3,24,0.96
PRPF38B,24,0.96
PRPF40A,24,0.96
SLTM,24,0.96
SNW1,24,0.96
TSR1,24,0.96
ZDHHC17,24,0.96
ZNF20,24,0.96
ZNF701,24,0.96
CRBN,23,0.92
HENMT1,23,0.92
RBL2,23,0.92
RNF6,23,0.92
TDP2,23,0.92
UGP2,23,0.92
VPS4B,23,0.92
ZNF721,23,0.92
ZNF830,23,0.92
ESF1,22,0.88
HNRNPH2,22,0.88
KLHL8,22,0.88
NOL8,22,0.88
UFM1,22,0.88
DDX5,21,0.84
FOXP3,21,0.84
HECA,21,0.84
PPP4R2,21,0.84
FYTTD1,20,0.8
THUMPD1,20,0.8
ZNF267,19,0.76
CTR9,18,0.72
HMGB1,18,0.72
NARS,18,0.72
PPIG,18,0.72
UBL3,18,0.72
WDR82,18,0.72
DNAJA1,17,0.68
KTN1,17,0.68
SMOX,17,0.68
USP1,16,0.64
CDK5RAP3,15,0.6
HTATSF1,15,0.6
LRRC8D,15,0.6
MAT2B,15,0.6
TAF7,15,0.6
ZNF322,15,0.6
C2orf57,14,0.56
IDI1,14,0.56
MIS12,14,0.56
MORF4L1,14,0.56
BIN2,13,0.52
CD63,13,0.52
DHX15,13,0.52
FAM200B,13,0.52
HMBS,13,0.52
RAB27A,13,0.52
TNFAIP8L2,13,0.52
CPVL,12,0.48
HEXB,12,0.48
LINC00909,12,0.48
S100A6,12,0.48
TTC32,12,0.48
AZIN1,11,0.44
CHCHD7,11,0.44
E2F2,11,0.44
