gene,count,freq
R3HCC1L,25,1.0
DDX3X,25,1.0
PNISR,25,1.0
KIDINS220,25,1.0
IVNS1ABP,25,1.0
RANBP2,25,1.0
RBM39,25,1.0
RNF145,25,1.0
SACM1L,25,1.0
HERC4,25,1.0
SPG20,25,1.0
TGFBR1,25,1.0
TIGD7,25,1.0
UBXN2A,25,1.0
LUC7L3,25,1.0
DDX42,25,1.0
MALAT1,25,1.0
ATRX,25,1.0
ZNF292,25,1.0
ZNF770,25,1.0
ARID4B,25,1.0
TMEM2,24,0.96
CCR2,24,0.96
CNBP,24,0.96
CD163,24,0.96
ZNF701,24,0.96
CRLF3,24,0.96
RIT1,24,0.96
PPM1B,24,0.96
AHNAK,24,0.96
PNN,23,0.92
SRSF5,23,0.92
ZDHHC17,23,0.92
HNRNPA2B1,23,0.92
GIMAP8,22,0.88
POLR2B,22,0.88
ZNF700,22,0.88
ZNF12,22,0.88
EIF4A2,21,0.84
TOPORS,21,0.84
PRPF40A,21,0.84
YTHDC1,21,0.84
ZNF808,20,0.8
ZNF117,20,0.8
ZNF322,20,0.8
HNRNPH3,20,0.8
LOC728554,20,0.8
EGR1,20,0.8
LBR,20,0.8
SLC38A2,19,0.76
RSF1,19,0.76
RAB27A,19,0.76
FXR1,19,0.76
SREK1,18,0.72
CLK1,18,0.72
ZNF721,18,0.72
EIF3A,18,0.72
RBL2,18,0.72
CHD2,18,0.72
PDX1,17,0.68
SRSF1,17,0.68
ARMCX3,17,0.68
PNRC2,17,0.68
TM2D3,16,0.64
USP47,16,0.64
TTC14,16,0.64
CHMP1B,16,0.64
RB1CC1,15,0.6
ZNF600,15,0.6
RABGGTB,15,0.6
FAM13C,15,0.6
CES1,15,0.6
STARD4,15,0.6
SENP6,14,0.56
TSR1,14,0.56
LINC00909,14,0.56
MRFAP1,14,0.56
DDX6,14,0.56
IFRD1,13,0.52
PCF11,13,0.52
SF3B1,13,0.52
JAK2,13,0.52
ESF1,13,0.52
CCDC82,13,0.52
MYBL2,12,0.48
ASNSD1,12,0.48
FAR1,12,0.48
HNRNPH2,12,0.48
ZFP62,11,0.44
YIPF4,11,0.44
ZNF518B,10,0.4
C1QC,10,0.4
STX16,10,0.4
SRSF6,10,0.4
DDX5,10,0.4
HSD17B11,10,0.4
MFSD1,9,0.36
HMBS,9,0.36
SCARNA17,9,0.36
RENBP,9,0.36
ITGB2,9,0.36
UFM1,9,0.36
DCP2,9,0.36
CTR9,9,0.36
DEK,8,0.32
NUP50,8,0.32
TMCO3,8,0.32
RBM12B,8,0.32
PAFAH1B3,8,0.32
RPS6KA3,8,0.32
RBAK,7,0.28
HNRNPH1,7,0.28
RAD21,7,0.28
RANBP6,7,0.28
INSIG2,7,0.28
ABHD14A,7,0.28
TDP2,7,0.28
KIF5B,7,0.28
SLC17A9,7,0.28
FER,7,0.28
CREBZF,6,0.24
UCP2,6,0.24
CPNE5,6,0.24
ARHGEF16,6,0.24
STK4,6,0.24
S100A6,6,0.24
CCDC47,6,0.24
PNOC,6,0.24
CD79A,6,0.24
ZNF217,6,0.24
FYTTD1,6,0.24
CDK5RAP3,5,0.2
ZKSCAN1,5,0.2
HNRNPA3,5,0.2
KLHL8,5,0.2
