gene,importance_mean,importance_std
PNN,0.10003278122843337,0.04758046994702279
S100A6,0.09669427191166322,0.04166846211198228
ZNF830,0.08770703933747412,0.03230737509106952
RANBP6,0.080867839889579,0.04496131746267654
AGPAT9,0.07541062801932363,0.037013753796136126
CRLF3,0.07132677708764663,0.04304139537576223
RNF145,0.06949965493443752,0.032658954152525836
AZIN1,0.06943581780538302,0.03408457406823695
TAF7,0.06673567977915802,0.04370311678437466
EIF4A2,0.066595928226363,0.040835451027730646
C2orf57,0.06580227743271222,0.03749289178540151
ZDHHC17,0.06566080055210487,0.030755914497666795
ATRX,0.06144582470669425,0.038971114946550756
HENMT1,0.05782263630089715,0.03308753969417032
USP1,0.056321601104209786,0.03980715737450764
GIMAP8,0.05495859213250517,0.026331998289962574
MIS12,0.0505607315389924,0.028923004814859418
SACM1L,0.04804347826086954,0.04177319304383735
ZNF322,0.04714113181504484,0.03634836271569989
CCR2,0.04362491373360937,0.03633178105406779
ITGB2,0.04321083505866114,0.030076068873438656
MFSD1,0.04140614216701173,0.04478098321139547
ZNF600,0.03840924775707382,0.039684363087101965
TAX1BP1,0.037377501725327805,0.033058861375531406
SNW1,0.0345910973084886,0.03801263790814872
LINC00909,0.03377846790890268,0.030230244302216523
NARS,0.03338854382332642,0.03466307823736376
MORF4L1,0.033048654244306405,0.034472725177157736
SLA,0.03177191166321598,0.04018150775882775
CDK5RAP3,0.031009316770186323,0.034560514274169195
KIF5B,0.02973257418909591,0.042487221561784895
DEK,0.02970496894409936,0.0398328663500586
PRPF38B,0.029565217391304324,0.05929113826097148
ARMCX3,0.029073498964803306,0.029702656993025177
HTATSF1,0.027993443754313303,0.04033316156036618
HMBS,0.027983091787439598,0.0168987337164834
KPNB1,0.027731193926846087,0.03650651288089113
IDI1,0.02753623188405796,0.03957746613532246
NRBF2,0.027115251897860584,0.04516879558056479
SMOX,0.026556245686680455,0.03600760202416263
ATP6AP2,0.0250534851621808,0.027358760314216808
HMGB1,0.02468426501035196,0.021759912139471062
RBL2,0.02358868184955141,0.04030718559958766
HNRNPH2,0.022853692201518276,0.045769714081028444
BIN2,0.020998964803312616,0.03641712027201147
ZNF12,0.020600414078674936,0.03234568088474791
UFM1,0.020308833678398877,0.026206294249605105
ZNF267,0.020303657694962014,0.027997487003318895
UBL3,0.018417874396135254,0.027796914019821053
RAB27A,0.018402346445824704,0.03349719499818161
LRRC8D,0.01797446514837818,0.027182712214773367
MRFAP1L1,0.016014492753623183,0.01269026588142056
VPS4B,0.015978260869565206,0.02424094595838995
HNRNPH3,0.015921325051759822,0.023861708796806404
SLC35A1,0.015917874396135255,0.04221875690095615
CHCHD7,0.015274327122153203,0.0350117445215549
KLHL8,0.014975845410628012,0.01624797913783799
ASNSD1,0.014694616977225666,0.012083634957075038
MAT2B,0.014092477570738431,0.028972838517705123
PPIG,0.013583505866114544,0.02749771159121773
HSD17B11,0.013060731538992388,0.029979396551336614
ZNF721,0.012846790890269138,0.03377127078558157
FNTA,0.012803657694962025,0.032779639685811324
TTC32,0.01242753623188404,0.03991690852929029
MORC3,0.012242926155969617,0.05061167675446964
NOL8,0.011614906832298124,0.02045444747754226
TNFAIP8L2,0.011547619047619029,0.026913100969217372
CD163,0.011247412008281553,0.044146144793164206
SLTM,0.010809178743961343,0.021234527335106477
E2F2,0.009744651483781909,0.018346121888045467
CPVL,0.00934782608695651,0.020649292111844825
PPM1B,0.00888888888888886,0.030161967244820106
TM2D3,0.008343685300207017,0.03324847099147128
THUMPD1,0.0076828847481021124,0.03461832661657253
DNAJA1,0.00739648033126292,0.032372078937142224
ZNF20,0.006984126984126972,0.013673154443336883
FAM200B,0.006597653554175268,0.03236421417687075
UGP2,0.006230158730158695,0.03906301699421309
CRBN,0.004927536231884055,0.009720954398686376
FYTTD1,0.00325396825396825,0.0118448226509795
MPHOSPH10,0.003041752933057266,0.030225863324333184
PPP4R2,0.002512077294685966,0.035950429369681576
WDR82,0.0017926155969634058,0.027570203399944815
RB1CC1,-0.00029503105590063526,0.038216692170522634
DDX5,-0.0015113871635610916,0.034928619786396706
PRPF40A,-0.003152173913043514,0.027356115801995883
ESF1,-0.0038129744651483927,0.034306615359550555
ZNF701,-0.005338164251207739,0.029987698514103503
DHX15,-0.0056090407177363895,0.023022389861812938
CNEP1R1,-0.005961007591442408,0.015357304127247635
HECA,-0.006597653554175309,0.03204750521449592
TDP2,-0.008630089717046261,0.03730435059662102
FOXP3,-0.01000000000000002,0.013840960386813013
CTR9,-0.010120772946859926,0.04211578214479904
CD63,-0.010198412698412712,0.029249046817510657
TSR1,-0.010453761214630798,0.016203272554826002
DAP3,-0.012479296066252615,0.0360392774439219
KTN1,-0.018895790200138058,0.02298842186373263
RNF6,-0.026552795031055912,0.05198896832743998
HEXB,-0.031859903381642546,0.020021494024327277
